Krant	veel	zich	zou	al	door	aan	heeft	mensen	tegen	we	wat	was	er	wel	kan	maar	zo	ze	meer	ik	die	dit	ook	werd	je	volgens	deze	naar	worden	kunnen	bij	dan	jaar	uit	over	tot	geen	n	nu	hun	hebben	om	of	als	hij	moeten	niet	moet	wordt	nog
Oermensen waren al rechtshandigWed, 13 Jul 2011 10:43:00 GMT	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	1
Giro 555 open voor slachtoffers droogte in Hoorn van AfrikaMon, 11 Jul 2011 17:31:00 GMT	0	0	0	1	2	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	2
Zwemmer D'Arcy moet boeten voor knokpartijMon, 18 Jul 2011 06:13:00 GMT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	1	2	0	2	0	0	0	0	1	1	0	2	2	0	0	1	0	0
Man wil vijftig slangen meesmokkelen in sokkenSat, 16 Jul 2011 09:46:00 GMT	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Australisch ziekenhuis verwisselt baby'sMon, 18 Jul 2011 01:47:00 GMT	0	0	0	0	0	5	0	0	0	4	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	1	2	0	0	0
'Olympische Spelen kosten 2 miljard euro'Sat, 16 Jul 2011 19:09:00 GMT	0	0	0	1	2	0	2	0	1	1	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1
Website The Sun gehacktMon, 18 Jul 2011 22:14:00 GMT	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	4	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kleinere senaat zou ten koste gaan van SGPThu, 14 Jul 2011 15:24:00 GMT	0	0	1	2	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0
Tennisser De Bakker valt uit de top 100Mon, 18 Jul 2011 07:40:00 GMT	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	3	0	1	0	0	1
Schooltje vraagt ouders om extra leerkracht te betalenFri, 01 Jul 2011 11:48:00 GMT	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0
'Italië geeft met bezuinigingsplannen het goede voorbeeld'Sat, 16 Jul 2011 07:00:00 GMT	1	1	1	1	2	3	1	0	0	0	0	0	1	1	1	2	1	0	0	0	0	0	2	0	0	0	2	0	3	0	1	1	1	1	2	2	0	1	0	3	1	3	0	2	0	2	2	2	1	0
'Bestrijding bacterie Maasstadziekenhuis ging niet foutloos'Tue, 12 Jul 2011 15:32:00 GMT	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	3	0	0	2
Vrijspraak in oude moordzaak Tinka van RooijMon, 18 Jul 2011 08:39:00 GMT	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	4	1	0	2	1	1	3	0	0	1	0	1	0	2	2	5	2	2	3	0	0	0	0	0	0	1	1	1	0	1	0	0	1
WK-titel voetbaldames Japan doorbraak in mannenbolwerkMon, 18 Jul 2011 12:58:00 GMT	1	1	0	0	0	2	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	2	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	5	2	0	1
Bob Dylan komt naar RotterdamSat, 16 Jul 2011 08:38:00 GMT	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veel buitenland op longlist Libris geschiedenis prijsFri, 01 Jul 2011 12:04:00 GMT	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	1	3	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Eekhoorntje zorgt voor chaos op Duits spoorMon, 18 Jul 2011 14:53:00 GMT	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	0	0	1	2	0	1	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0
Beurzen flink onderuit door politieke chaosMon, 18 Jul 2011 17:14:00 GMT	0	0	0	2	0	1	0	0	0	0	0	4	0	0	1	1	0	0	1	0	2	0	4	3	0	1	0	2	2	0	1	1	1	1	4	6	3	1	0	0	0	0	0	1	0	0	0	1	1	3
'News Corp bereidt aftreden Murdoch voor'Tue, 19 Jul 2011 00:36:00 GMT	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	1	0	1	0	0	1	1	0	3	0	1	0	0	5	1	0	0	0	0	3
Amerikaans leger ontwikkelt robotkostuum voor soldatenFri, 15 Jul 2011 07:50:00 GMT	1	2	0	0	1	1	0	0	1	1	1	0	3	0	5	1	1	1	1	0	2	0	2	0	0	0	0	0	4	2	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	3	0	1	1
Nieuwe Harry Potter-film breekt alle recordsSun, 17 Jul 2011 23:01:00 GMT	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harry Potter verslaat BatmanSun, 17 Jul 2011 06:45:00 GMT	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Kevin Costner gepolst voor rol in nieuwe film TarantinoTue, 19 Jul 2011 09:27:00 GMT	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	2	1	1	1	0	2	1	0
'Zorgen over pedofilie ontaarden in Heksenjacht'Fri, 15 Jul 2011 06:51:00 GMT	1	0	0	0	1	1	1	1	0	0	1	0	2	0	0	3	2	2	1	0	3	1	1	0	0	0	0	1	1	1	0	0	0	3	4	4	2	1	0	2	1	1	2	1	0	1	7	2	0	0
'De herovering van de solidariteit'Tue, 19 Jul 2011 05:00:00 GMT	4	4	0	1	6	3	3	2	3	7	7	3	1	1	2	3	5	3	2	1	2	1	4	0	12	0	1	2	4	2	3	3	2	1	2	2	3	2	1	0	1	9	4	13	3	0	7	6	1	1
'Wilders mede oorzaak van bedreigingen moskeeën'Sun, 17 Jul 2011 10:23:00 GMT	0	3	1	0	1	1	4	4	2	4	4	0	3	2	1	3	1	1	2	6	5	1	3	0	8	0	1	0	1	0	1	2	0	4	1	1	1	3	1	1	1	5	1	6	0	0	6	2	0	1
Jongen (8) krijgt miljoenen voor mislukte besnijdenisMon, 18 Jul 2011 19:11:00 GMT	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1
Afrikaanse herder is de dupe van 'vooruitgang'Mon, 18 Jul 2011 17:33:00 GMT	0	0	0	5	6	0	1	1	0	2	1	1	6	0	2	6	1	2	1	6	12	0	7	0	0	0	2	2	3	1	3	3	1	2	2	2	0	1	4	3	1	1	2	4	0	1	3	0	2	0
'Marokkanen: pak je eigen tuig aan'Tue, 19 Jul 2011 05:00:00 GMT	1	5	0	0	0	6	3	1	2	0	3	2	3	2	4	0	1	4	0	5	11	0	3	3	4	0	1	2	6	4	7	1	0	7	2	0	1	0	1	6	2	4	4	9	6	3	8	0	1	1
Topfavoriet Evans: We moeten wel van voren zittenMon, 18 Jul 2011 07:05:00 GMT	0	1	0	0	1	0	0	0	0	4	0	0	2	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	2	1	0	0	0	0	0	0	1	0	3	1	0	1	0
'Genetici moeten zich meer richten op niet-blanken'Fri, 15 Jul 2011 03:45:00 GMT	1	2	0	1	0	4	0	5	0	1	1	1	1	0	0	4	1	2	4	1	10	2	2	0	4	1	0	7	1	1	3	3	1	2	0	0	0	0	0	1	3	4	1	3	0	2	8	0	1	3
Hekkensluiter Vacansoleil vreest degradatieTue, 19 Jul 2011 10:34:00 GMT	0	1	1	1	2	1	2	0	0	1	0	1	2	0	2	2	0	1	2	3	1	2	2	0	0	0	1	1	0	0	0	2	0	1	0	0	2	0	1	0	1	3	0	1	0	0	3	1	0	0
Philips lijdt 1,3 miljard verlies; wil 500 miljoen besparenMon, 18 Jul 2011 05:47:00 GMT	0	0	0	0	0	2	1	1	0	2	0	0	1	0	1	2	0	0	1	0	1	1	2	0	0	2	0	0	0	0	2	2	3	1	1	2	0	0	0	0	0	1	0	0	1	0	4	1	1	2
App geeft toegang tot smartphone van therapeut 'In therapie'Mon, 18 Jul 2011 10:34:00 GMT	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Afluisterschandaal: Wall Street Journal (van Murdoch) kiest de tegenaanvalMon, 18 Jul 2011 11:33:00 GMT	0	1	1	0	0	8	0	0	0	4	3	2	3	1	0	3	1	1	0	0	5	1	2	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	3	7	1	0	1	4	0	0	1
'Wat er in die zelfhulpcursus gebeurt is manipulatief'Thu, 07 Jul 2011 16:26:00 GMT	2	0	4	1	4	11	3	8	3	1	9	0	9	3	0	10	2	8	3	23	21	2	2	0	29	0	1	4	5	0	7	5	3	5	9	3	5	1	1	5	6	4	4	16	1	0	15	2	3	1
Fer vindt eigen rouwkaart in brievenbusTue, 19 Jul 2011 05:17:00 GMT	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	5	0	2	0	0	0
Bolkestein haalt uit naar Joop AtsmaWed, 13 Jul 2011 11:08:00 GMT	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	2	2	0	0	3	1	0	2	1	0	0	1	1	1	1	3	0	0	1	0	1	0	0	1	0	0	1	0	2	4	0	6	1	1	0
Spectaculaire groei werkgelegenheid in zorgsectorMon, 18 Jul 2011 08:15:00 GMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Waar is de creativiteit in debat over migranten?Mon, 11 Jul 2011 07:28:00 GMT	0	2	0	3	2	2	3	7	0	4	3	0	8	4	4	7	6	2	0	0	11	2	1	0	4	0	1	3	3	3	4	1	0	0	3	4	4	1	3	0	2	9	3	5	0	2	11	3	1	1
Koperdieven slaan weer slag langs spoor LelystadMon, 18 Jul 2011 06:55:00 GMT	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0
Nieuwe eetclub eet over datumSun, 17 Jul 2011 15:28:00 GMT	0	1	0	0	0	0	1	0	1	0	2	0	2	2	1	2	0	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1
Lopik weer in de lucht; bereik nog niet volledigMon, 18 Jul 2011 17:01:00 GMT	0	0	0	0	1	0	0	1	0	0	0	2	1	0	4	0	0	0	0	0	3	0	0	0	0	1	0	6	4	4	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	2	5
Dynamo legt spelers langer vastTue, 19 Jul 2011 08:30:00 GMT	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cameron verkort reis naar Afrika om afluisterschandaalMon, 18 Jul 2011 04:20:00 GMT	1	1	0	0	0	0	4	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0	2	0	1
'Uitspraken Wilders dragen bij aan bedreigen moskeeën'Sun, 17 Jul 2011 10:23:00 GMT	0	2	0	0	1	1	3	2	2	3	2	0	1	0	1	1	1	1	0	2	1	2	0	1	4	0	0	0	1	0	1	1	1	3	2	1	1	4	0	1	0	0	1	3	0	0	3	1	0	0
Er was te veel ontzag voor andere culturenFri, 15 Jul 2011 07:10:00 GMT	1	0	0	2	3	8	2	2	3	1	0	2	3	2	2	4	2	6	1	1	7	1	4	1	3	1	5	0	1	2	1	2	1	2	2	4	0	0	2	2	2	3	5	4	0	1	7	1	3	0
Liefdesbrief na 53 jaar bezorgd; correspondenten blijken getrouwdFri, 15 Jul 2011 18:10:00 GMT	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Stomdronken man rijdt huis binnen, bewoner gered door luie stoelThu, 14 Jul 2011 07:02:00 GMT	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	5	0	1	0	0	0
Hij is er: de nieuwe Red Hot Chili Peppers (en hier te beluisteren)Mon, 18 Jul 2011 12:56:00 GMT	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0
Opstelten: Nederlandse straf RAF-terrorist blijft overeindMon, 18 Jul 2011 19:33:00 GMT	0	1	0	1	0	6	2	0	0	0	0	0	1	0	3	1	0	0	3	0	2	0	1	1	0	2	1	0	2	0	1	0	1	4	0	1	1	0	2	0	0	1	0	1	3	0	2	0	0	2
Charlie Chaplins Hitler-imitatie op mega doek BerlijnFri, 15 Jul 2011 21:50:00 GMT	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Afghaanse agent vergiftigt en vermoordt collega's en vluchtTue, 19 Jul 2011 07:36:00 GMT	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
18.500 bezoekers voor Fashion WeekSun, 17 Jul 2011 14:57:00 GMT	1	0	0	0	4	1	1	1	0	0	0	2	2	1	0	3	1	0	1	0	2	2	2	1	1	1	0	1	0	2	1	1	0	2	1	0	1	0	1	0	0	2	0	1	1	0	2	0	0	1
Christelijke webwinkel wil gelovigen 'dichter bij God brengen'Thu, 23 Jun 2011 07:51:00 GMT	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
'Zieken mogen vakantiedagen niet onbeperkt opsparen'Thu, 07 Jul 2011 09:05:00 GMT	0	0	1	0	1	3	2	1	0	0	0	0	0	0	2	2	2	1	0	0	5	2	1	0	0	2	1	0	2	2	2	0	3	0	1	0	0	0	0	1	2	1	0	0	1	2	6	1	1	4
Taliban maken video van slachtpartij agenten PakistanMon, 18 Jul 2011 13:15:00 GMT	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Vertragingen op Schiphol door slecht weerThu, 14 Jul 2011 09:22:00 GMT	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	4	0	0	0	0	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Herman Cain: Gemeenschap mag moskee werenMon, 18 Jul 2011 09:41:00 GMT	0	0	0	0	1	0	1	2	1	0	1	0	1	0	0	0	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	0	1	1	4	0	0	3	0	1	0	0	0
Spanjaard Garate 2 jaar langer bij RabobankMon, 18 Jul 2011 14:59:00 GMT	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uraniummijn India mogelijk grootste op aardeTue, 19 Jul 2011 10:07:00 GMT	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
China nog altijd censuurverslaafd: belangrijke onderzoeksjournalisten de mond gesnoerdTue, 19 Jul 2011 09:30:00 GMT	0	0	0	0	1	2	2	0	1	0	0	0	0	1	0	2	1	0	0	0	4	0	0	1	0	1	1	1	0	0	0	0	1	0	3	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1
Duitse verzekeraar Allianz: Scheld kwart Griekse schuld kwijtMon, 18 Jul 2011 11:46:00 GMT	0	0	2	0	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	2	3	2	0	0	0
Treinen reden nooit punctueler, reizigers tevredenerSun, 17 Jul 2011 12:51:00 GMT	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	2	2	2	2	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1
Paard van 100.000 euro sterft tijdens luchtreisSun, 17 Jul 2011 13:55:00 GMT	0	2	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0
VS: vliegende auto mag  de weg opFri, 15 Jul 2011 08:40:00 GMT	0	2	0	2	3	0	2	0	1	0	0	0	1	1	0	3	1	0	1	0	7	0	1	1	0	0	2	0	0	0	2	2	0	1	0	0	1	1	1	0	2	4	2	2	1	1	1	1	0	0
Tsjetsjenië wil verbod op 'gevaarlijk en onislamitisch' Red BullMon, 18 Jul 2011 16:45:00 GMT	2	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
The Who speelt mogelijk nooit meer, door doofheidMon, 18 Jul 2011 12:10:00 GMT	1	0	1	0	1	1	2	0	0	3	1	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	2	1	4	9	0	3	0	0	3
Synchroonzwemsters missen finale op een haarMon, 18 Jul 2011 11:15:00 GMT	0	3	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0
Geen revolutionaire liedjes op Wit-Russische radio meerTue, 19 Jul 2011 10:18:00 GMT	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Rondvaartbedrijf wil varen op Hofvijver in Den HaagThu, 14 Jul 2011 09:42:00 GMT	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Syrische burgers gaan nu ook elkaar te lijf: dertig doden in twee dagenMon, 18 Jul 2011 09:57:00 GMT	1	0	1	4	0	2	0	1	2	0	0	0	2	0	0	1	0	0	3	0	5	1	0	0	0	1	0	2	0	0	2	2	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Verdachte IKEA-aanslag Dresden in Polen gevatMon, 18 Jul 2011 14:36:00 GMT	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Amerikaan vliegt 10 miljoen airmiles bij elkaarTue, 12 Jul 2011 15:39:00 GMT	0	1	0	1	1	2	2	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	2	0	0	1	0	3	5	0	2	0	1	0
Vierdaagse zonder problemen van startTue, 19 Jul 2011 06:51:00 GMT	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obama ontvangt Dalai Lama ondanks protest ChinaSat, 16 Jul 2011 17:42:00 GMT	0	1	0	2	0	0	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0
Miljoenen kinderen zingen Mandela toeMon, 18 Jul 2011 13:53:00 GMT	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	1	0	3	0	1	0	0	0
